,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Playing Time
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
3,Martin Valjent,sk SVK,DF,28-048,17.0,17,1463.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,0.2,15.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches,Mallorca,
4,Giovanni González,uy URU,DF,29-130,19.0,14,1289.0,14.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.7,0.9,12.0,40.0,45.0,0.0,0.07,0.07,0.0,0.07,0.01,0.05,0.06,0.01,0.06,Matches,Mallorca,
5,Matija Nastasić,rs SRB,DF,30-306,15.0,14,1268.0,14.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,0.5,0.9,3.0,29.0,2.0,0.07,0.0,0.07,0.07,0.07,0.03,0.03,0.07,0.03,0.07,Matches,Mallorca,
6,Pablo Maffeo,es ESP,DF,26-200,17.0,13,1122.0,12.5,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.6,0.6,0.6,1.2,32.0,30.0,48.0,0.0,0.16,0.16,0.0,0.16,0.04,0.05,0.09,0.04,0.09,Matches,Mallorca,
7,Antonio Sánchez,es ESP,"MF,FW",27-027,16.0,13,872.0,9.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,0.6,2.5,24.0,38.0,39.0,0.1,0.1,0.21,0.1,0.21,0.19,0.07,0.26,0.19,0.26,Matches,Mallorca,
8,Sergi Darder,es ESP,"MF,FW",30-037,19.0,12,1250.0,13.9,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,4.0,4.6,32.0,65.0,40.0,0.0,0.22,0.22,0.0,0.22,0.04,0.29,0.33,0.04,0.33,Matches,Mallorca,
9,Vedat Muriqi,xk KVX,FW,29-279,13.0,12,1068.0,11.9,4.0,2.0,6.0,3.0,1.0,3.0,0.0,0.0,5.6,3.2,1.7,4.9,12.0,17.0,53.0,0.34,0.17,0.51,0.25,0.42,0.47,0.15,0.62,0.27,0.42,Matches,Mallorca,
10,Jaume Costa,es ESP,DF,35-316,18.0,11,966.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.4,0.6,20.0,28.0,55.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.06,0.01,0.06,Matches,Mallorca,
11,Cyle Larin,ca CAN,FW,28-286,20.0,10,1025.0,11.4,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,6.3,6.3,0.4,6.7,11.0,5.0,52.0,0.18,0.0,0.18,0.18,0.18,0.55,0.03,0.59,0.55,0.59,Matches,Mallorca,
12,Antonio Raillo,es ESP,DF,32-112,11.0,10,891.0,9.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,0.8,1.6,7.0,25.0,0.0,0.2,0.0,0.2,0.2,0.2,0.08,0.08,0.16,0.08,0.16,Matches,Mallorca,
13,Toni Lato,es ESP,DF,26-068,15.0,8,813.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.8,0.9,13.0,13.0,62.0,0.0,0.11,0.11,0.0,0.11,0.01,0.09,0.1,0.01,0.1,Matches,Mallorca,
14,Manu Morlanes,es ESP,MF,25-016,18.0,8,733.0,8.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.5,0.9,10.0,47.0,15.0,0.0,0.12,0.12,0.0,0.12,0.05,0.06,0.11,0.05,0.11,Matches,Mallorca,
15,Abdón Prats,es ESP,"FW,MF",31-052,18.0,8,728.0,8.1,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,1.9,1.9,2.2,4.1,4.0,19.0,27.0,0.62,0.12,0.74,0.62,0.74,0.23,0.27,0.5,0.23,0.5,Matches,Mallorca,
16,Omar Mascarell,es ESP,MF,30-360,14.0,8,668.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.1,0.1,0.0,0.1,7.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Mallorca,
17,Copete,es ESP,DF,24-110,9.0,8,636.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Mallorca,
18,Siebe Van Der Heyden,be BEL,DF,25-243,6.0,4,286.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Mallorca,
19,Amath,sn SEN,"FW,MF",27-196,15.0,3,394.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.6,1.6,0.4,1.9,19.0,13.0,30.0,0.0,0.0,0.0,0.0,0.0,0.35,0.09,0.44,0.35,0.44,Matches,Mallorca,
20,Javier Llabrés,es ESP,"MF,FW",21-139,11.0,0,139.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.2,0.8,5.0,1.0,15.0,0.65,0.0,0.65,0.65,0.65,0.4,0.11,0.51,0.4,0.51,Matches,Mallorca,
21,Iván Cuéllar,es ESP,GK,39-246,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Mallorca,
22,Marcos Fernández Cózar,,DF,20-195,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Mallorca,
23,Dominik Greif,sk SVK,GK,26-297,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Mallorca,
24,Pere Joan,es ESP,GK,21-312,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Mallorca,
25,Yuzún Ley,es ESP,DF,20-027,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Mallorca,
26,David López,es ESP,DF,20-359,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Mallorca,
27,Daniel Luna,co COL,MF,20-266,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Mallorca,
28,Pau Mascaró,es ESP,FW,19-100,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Mallorca,
29,Miguelito,es ESP,DF,23-016,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Mallorca,
30,Alex Quevedo,es ESP,GK,19-275,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Mallorca,
31,Rubén Quintanilla,es ESP,MF,21-300,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Mallorca,
32,Squad Total,,,29.0,21.0,231,1890.0,21.0,19.0,16.0,35.0,18.0,1.0,3.0,58.0,2.0,23.0,20.7,17.4,38.1,275.0,587.0,573.0,0.9,0.76,1.67,0.86,1.62,1.1,0.83,1.92,0.99,1.82,,Mallorca,
33,Opponent Total,,,27.7,21.0,231,1890.0,21.0,25.0,16.0,41.0,21.0,4.0,4.0,37.0,1.0,26.9,23.8,17.6,41.4,390.0,800.0,792.0,1.19,0.76,1.95,1.0,1.76,1.28,0.84,2.12,1.13,1.97,,Mallorca,
0,David García,es ESP,DF,29-347,,19,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.0,0.5,13.0,85.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Osasuna,19.0
1,Aimar Oroz,es ESP,MF,22-061,,18,1541.0,17.1,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.6,0.8,1.2,2.0,37.0,73.0,92.0,0.06,0.06,0.12,0.0,0.06,0.09,0.07,0.16,0.05,0.12,Matches,Osasuna,20.0
2,Sergio Herrera,es ESP,GK,30-236,,17,1519.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Osasuna,17.0
3,Ante Budimir,hr CRO,FW,32-189,,17,1472.0,16.4,9.0,2.0,11.0,6.0,3.0,3.0,4.0,0.0,8.1,5.7,1.1,6.8,17.0,25.0,62.0,0.55,0.12,0.67,0.37,0.49,0.49,0.07,0.56,0.35,0.42,Matches,Osasuna,20.0
4,Catena,es ESP,DF,29-091,,16,1433.0,15.9,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.8,0.8,0.3,1.1,5.0,45.0,0.0,0.06,0.06,0.13,0.06,0.13,0.05,0.02,0.07,0.05,0.07,Matches,Osasuna,16.0
5,Rubén Peña,es ESP,"DF,FW",32-193,,15,1234.0,13.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.9,1.5,40.0,47.0,82.0,0.0,0.07,0.07,0.0,0.07,0.04,0.07,0.11,0.04,0.11,Matches,Osasuna,16.0
6,Jesús Areso,es ESP,DF,24-209,,14,1282.0,14.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,1.3,1.4,31.0,51.0,80.0,0.07,0.07,0.14,0.07,0.14,0.0,0.09,0.1,0.0,0.1,Matches,Osasuna,19.0
7,Moi Gómez,es ESP,"MF,FW",29-218,,14,1140.0,12.7,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,0.3,1.5,27.0,81.0,37.0,0.16,0.0,0.16,0.16,0.16,0.1,0.02,0.12,0.1,0.12,Matches,Osasuna,15.0
8,Lucas Torró,es ESP,MF,29-192,,13,1027.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,0.1,0.9,0.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.08,0.08,0.08,Matches,Osasuna,15.0
9,Juan Cruz Armada,es ESP,DF,31-183,,12,1096.0,12.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,0.4,10.0,45.0,18.0,0.0,0.08,0.08,0.0,0.08,0.0,0.03,0.03,0.0,0.03,Matches,Osasuna,14.0
10,Ezequiel Ávila,ar ARG,"FW,MF",29-355,,10,864.0,9.6,1.0,3.0,4.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,2.3,4.3,14.0,39.0,75.0,0.1,0.31,0.42,0.1,0.42,0.21,0.24,0.45,0.21,0.45,Matches,Osasuna,17.0
11,Jon Moncayola,es ESP,MF,25-259,,9,822.0,9.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.0,1.2,8.0,45.0,23.0,0.0,0.11,0.11,0.0,0.11,0.03,0.11,0.13,0.03,0.13,Matches,Osasuna,17.0
12,Johan Mojica,co COL,"DF,FW",31-159,,9,812.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.3,2.2,31.0,39.0,62.0,0.0,0.11,0.11,0.0,0.11,0.1,0.14,0.24,0.1,0.24,Matches,Osasuna,12.0
13,Iker Muñoz,es ESP,MF,21-083,,8,794.0,8.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.7,6.0,33.0,6.0,0.23,0.0,0.23,0.23,0.23,0.06,0.02,0.08,0.06,0.08,Matches,Osasuna,13.0
14,Rubén García,es ESP,"FW,MF",30-197,,8,639.0,7.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.9,0.9,1.4,2.3,5.0,22.0,46.0,0.28,0.0,0.28,0.28,0.28,0.12,0.2,0.32,0.12,0.32,Matches,Osasuna,14.0
15,Pablo Ibáñez,es ESP,MF,25-129,,5,479.0,5.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.2,1.2,0.9,2.1,10.0,32.0,18.0,0.19,0.19,0.38,0.19,0.38,0.22,0.17,0.39,0.22,0.39,Matches,Osasuna,16.0
16,Raúl,es ESP,FW,23-085,,4,491.0,5.5,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,2.1,2.1,0.3,2.4,4.0,9.0,27.0,0.55,0.0,0.55,0.55,0.55,0.39,0.05,0.44,0.39,0.44,Matches,Osasuna,18.0
17,José Arnaiz,es ESP,"FW,MF",28-287,,4,472.0,5.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,1.5,2.8,7.0,4.0,36.0,0.19,0.19,0.38,0.19,0.38,0.24,0.29,0.53,0.24,0.53,Matches,Osasuna,14.0
18,Aitor Fernández,es ESP,GK,32-269,,3,281.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Osasuna,4.0
19,Kike Barja,es ESP,"FW,MF",26-301,,2,251.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.5,0.6,15.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.03,0.16,0.2,0.03,0.2,Matches,Osasuna,11.0
20,Jorge Herrando,es ESP,DF,22-333,,2,216.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Osasuna,3.0
21,Unai García,es ESP,DF,31-358,,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Osasuna,1.0
22,Nacho Vidal,es ESP,"DF,FW",29-003,,0,96.0,1.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,1.0,4.0,0.94,0.0,0.94,0.94,0.94,0.28,0.01,0.29,0.28,0.29,Matches,Osasuna,7.0
23,Darko Brašanac,rs SRB,MF,31-349,,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Osasuna,1.0
24,Javi Martínez,es ESP,MF,24-036,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Osasuna,0.0
25,Dimitrios Stamatakis,gr GRE,GK,20-279,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Osasuna,0.0
26,Pablo Valencia,es ESP,GK,23-026,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Osasuna,0.0
27,Squad Total,,,28.6,,220,1800.0,20.0,25.0,14.0,39.0,21.0,4.0,4.0,46.0,3.0,22.8,19.7,14.9,34.6,281.0,718.0,710.0,1.25,0.7,1.95,1.05,1.75,1.14,0.75,1.89,0.99,1.73,,Osasuna,20.0
28,Opponent Total,,,27.7,,220,1800.0,20.0,31.0,26.0,57.0,30.0,1.0,2.0,55.0,5.0,26.7,25.3,19.2,44.5,323.0,694.0,688.0,1.55,1.3,2.85,1.5,2.8,1.33,0.96,2.29,1.26,2.23,,Osasuna,20.0
0,Stole Dimitrievski,mk MKD,GK,30-033,20.0,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Rayo-Vallecano,
1,Florian Lejeune,fr FRA,DF,32-252,20.0,20,1797.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.4,1.4,0.3,1.7,4.0,66.0,4.0,0.0,0.05,0.05,0.0,0.05,0.07,0.01,0.08,0.07,0.08,Matches,Rayo-Vallecano,
2,Isaac Palazón Camacho,es ESP,"MF,FW",29-031,20.0,19,1532.0,17.0,2.0,1.0,3.0,0.0,2.0,2.0,3.0,0.0,2.9,1.3,1.2,2.5,17.0,69.0,85.0,0.12,0.06,0.18,0.0,0.06,0.17,0.07,0.24,0.08,0.15,Matches,Rayo-Vallecano,
3,Alfonso Espino,uy URU,DF,32-022,18.0,18,1522.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.7,0.7,1.4,2.1,24.0,60.0,61.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches,Rayo-Vallecano,
4,Iván Balliu,al ALB,DF,32-026,17.0,17,1512.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.1,1.6,26.0,48.0,50.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches,Rayo-Vallecano,
5,Óscar Valentín,es ESP,MF,29-160,18.0,17,1491.0,16.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.3,1.3,0.5,1.8,15.0,75.0,7.0,0.06,0.0,0.06,0.06,0.06,0.08,0.03,0.11,0.08,0.11,Matches,Rayo-Vallecano,
6,Álvaro García,es ESP,"MF,FW",31-092,18.0,17,1452.0,16.1,4.0,1.0,5.0,4.0,0.0,0.0,7.0,1.0,2.8,2.8,2.2,5.0,31.0,41.0,152.0,0.25,0.06,0.31,0.25,0.31,0.17,0.14,0.31,0.17,0.31,Matches,Rayo-Vallecano,
7,Unai López,es ESP,MF,28-089,18.0,15,1087.0,12.1,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,1.9,2.5,13.0,51.0,23.0,0.08,0.17,0.25,0.08,0.25,0.05,0.16,0.21,0.05,0.21,Matches,Rayo-Vallecano,
8,Aridane Hernández,es ESP,DF,34-310,11.0,11,970.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.1,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Rayo-Vallecano,
9,Pathé Ciss,sn SEN,MF,29-317,18.0,10,1011.0,11.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.4,1.4,0.4,1.8,8.0,46.0,18.0,0.09,0.0,0.09,0.09,0.09,0.12,0.03,0.16,0.12,0.16,Matches,Rayo-Vallecano,
10,Raúl de Tomás,es ESP,FW,29-102,15.0,10,808.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.8,1.8,1.2,3.0,9.0,16.0,46.0,0.0,0.22,0.22,0.0,0.22,0.2,0.13,0.33,0.2,0.33,Matches,Rayo-Vallecano,
11,Óscar Trejo,ar ARG,"FW,MF",35-276,16.0,10,751.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.6,1.1,15.0,72.0,34.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.13,0.06,0.13,Matches,Rayo-Vallecano,
12,Abdul Mumin,gh GHA,DF,25-235,10.0,9,794.0,8.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.3,0.3,0.0,0.3,5.0,22.0,2.0,0.11,0.0,0.11,0.11,0.11,0.03,0.0,0.03,0.03,0.03,Matches,Rayo-Vallecano,
13,Sergio Camello,es ESP,FW,22-351,16.0,9,783.0,8.7,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,2.6,2.6,0.6,3.2,8.0,19.0,46.0,0.23,0.11,0.34,0.23,0.34,0.3,0.06,0.37,0.3,0.37,Matches,Rayo-Vallecano,
14,Kike Pérez,es ESP,"MF,FW",26-347,15.0,6,550.0,6.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.9,1.9,0.1,2.0,12.0,36.0,24.0,0.16,0.0,0.16,0.16,0.16,0.3,0.02,0.32,0.3,0.32,Matches,Rayo-Vallecano,
15,Jorge de Frutos,es ESP,"MF,FW",26-341,19.0,4,617.0,6.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7,1.7,0.7,2.4,19.0,16.0,60.0,0.15,0.0,0.15,0.15,0.15,0.25,0.11,0.36,0.25,0.36,Matches,Rayo-Vallecano,
16,Randy Ntekja,fr FRA,"FW,MF",26-052,9.0,3,427.0,4.7,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.6,0.8,0.8,1.6,9.0,11.0,20.0,0.21,0.21,0.42,0.0,0.21,0.34,0.18,0.51,0.17,0.35,Matches,Rayo-Vallecano,
17,Andrei Ratiu,ro ROU,DF,25-221,4.0,3,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,11.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,Matches,Rayo-Vallecano,
18,Pep Chavarría,es ESP,DF,25-292,7.0,2,256.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,7.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches,Rayo-Vallecano,
19,Radamel Falcao,co COL,"FW,DF",37-351,12.0,0,185.0,2.1,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.8,1.0,0.2,1.2,2.0,3.0,10.0,0.49,0.0,0.49,0.0,0.0,0.86,0.1,0.96,0.48,0.58,Matches,Rayo-Vallecano,
20,Bebé,cv CPV,"MF,FW",33-199,14.0,0,140.0,1.6,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.3,0.5,0.2,0.7,11.0,5.0,15.0,1.29,0.0,1.29,0.64,0.64,0.85,0.12,0.98,0.35,0.47,Matches,Rayo-Vallecano,
21,Salvi,es ESP,MF,32-303,1.0,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Rayo-Vallecano,
22,José Pozo,es ESP,"MF,FW",27-318,1.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Rayo-Vallecano,
23,Diego Méndez,es ESP,MF,20-151,1.0,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Rayo-Vallecano,
24,Cárdenas,es ESP,GK,26-305,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Rayo-Vallecano,
25,Jorge Moreno,es ESP,DF,22-279,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Rayo-Vallecano,
26,Morro,es ESP,GK,23-138,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Rayo-Vallecano,
27,Pablo Muñoz,es ESP,MF,20-145,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Rayo-Vallecano,
28,Martín Pascual,es ESP,DF,24-176,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Rayo-Vallecano,
29,Squad Total,,,30.1,20.0,220,1800.0,20.0,18.0,9.0,27.0,13.0,5.0,5.0,59.0,3.0,24.8,20.9,13.5,34.4,249.0,688.0,684.0,0.9,0.45,1.35,0.65,1.1,1.24,0.68,1.92,1.04,1.72,,Rayo-Vallecano,
30,Opponent Total,,,27.6,20.0,220,1800.0,20.0,24.0,17.0,41.0,23.0,1.0,2.0,60.0,6.0,27.5,25.9,21.7,47.6,352.0,786.0,773.0,1.2,0.85,2.05,1.15,2.0,1.37,1.09,2.46,1.3,2.38,,Rayo-Vallecano,
0,Federico Valverde,uy URU,MF,25-189,20.0,19,1633.0,18.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.2,2.2,2.8,5.0,68.0,133.0,59.0,0.06,0.11,0.17,0.06,0.17,0.12,0.16,0.28,0.12,0.28,Matches,Real-Madrid,
1,Antonio Rüdiger,de GER,DF,30-330,19.0,18,1661.0,18.5,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.4,0.4,0.7,1.1,14.0,54.0,1.0,0.05,0.0,0.05,0.05,0.05,0.02,0.04,0.06,0.02,0.06,Matches,Real-Madrid,
2,Jude Bellingham,eng ENG,"MF,FW",20-212,18.0,18,1548.0,17.2,14.0,3.0,17.0,13.0,1.0,1.0,5.0,0.0,8.2,7.4,2.6,10.0,59.0,132.0,117.0,0.81,0.17,0.99,0.76,0.93,0.47,0.15,0.63,0.43,0.58,Matches,Real-Madrid,
3,Rodrygo,br BRA,FW,23-018,20.0,17,1449.0,16.1,7.0,4.0,11.0,7.0,0.0,1.0,1.0,0.0,7.5,6.8,1.8,8.6,103.0,51.0,200.0,0.43,0.25,0.68,0.43,0.68,0.47,0.11,0.58,0.42,0.53,Matches,Real-Madrid,
4,Dani Carvajal,es ESP,DF,32-016,15.0,15,1266.0,14.1,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,0.8,0.8,2.1,3.0,24.0,60.0,124.0,0.21,0.14,0.36,0.21,0.36,0.06,0.15,0.21,0.06,0.21,Matches,Real-Madrid,
5,Toni Kroos,de GER,MF,34-023,20.0,14,1290.0,14.3,1.0,6.0,7.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,3.0,4.1,18.0,167.0,20.0,0.07,0.42,0.49,0.07,0.49,0.08,0.21,0.28,0.08,0.28,Matches,Real-Madrid,
6,David Alaba,at AUT,DF,31-217,14.0,14,1154.0,12.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.7,1.6,9.0,51.0,13.0,0.0,0.08,0.08,0.0,0.08,0.08,0.05,0.13,0.08,0.13,Matches,Real-Madrid,
7,Kepa Arrizabalaga,es ESP,GK,29-116,12.0,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Madrid,
8,Aurélien Tchouaméni,fr FRA,"MF,DF",24-000,15.0,12,1069.0,11.9,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.4,1.2,16.0,86.0,12.0,0.08,0.08,0.17,0.08,0.17,0.07,0.03,0.1,0.07,0.1,Matches,Real-Madrid,
